target_slug,target,kind,crop_slug,crop,product_slug,product,klass,reg_no,reg_until,norm_raw,dose_per_10l,method,wait_days,max_treatments,hazard_bees,page
ognevka,огневка,вредитель,smorodina,смородина,karbotsin,Карбоцин,инсектицид,441-01-1513-1,30.05.2027,1 таб./10 лводы,1 таб,Опрыскивание в период вегетации,20,2,I,289
ognevka,огневка,вредитель,smorodina,смородина,lepidotsid,Лепидоцид,инсектицид,034-01-2886-1,09.12.2030,20-30 г/10 лводы,20–30 г,Опрыскивание в период вегетации против каждого поколения вредителя с интервалом 7-8 дней,5,2,III,32
oduvanchik,одуванчик,сорняк,gazon,газон,bis-300,Бис-300,гербицид,002-03-2636-1,29.12.2023,6 мл/5 лводы,12 мл,Опрыскивание по вегетирующим сорнякам после первого укоса. Срок безопасного выхода на обработанные площади не ранее 3-х дней,,1,III,959
oduvanchik,одуванчик,сорняк,gazon,газон,gerbimaks,Гербимакс,гербицид,008-03-4377-0,23.01.2027,6 мл/5 лводы,12 мл,Опрыскивание газонов по вегетирующим сорным растениям после первого укоса,,1,III,957
oduvanchik,одуванчик,сорняк,gazon,газон,lornet,Лорнет,гербицид,018-03-2800-1,15.09.2030,6 мл/5 лводы,12 мл,Опрыскивание по вегетирующим растениям после первого укоса. Срок безопасного выхода пользователей на обработанные препаратом площади не ранее 3-х дней после обработки,,1,III,957
oduvanchik,одуванчик,сорняк,gazon,газон,haker,Хакер,гербицид,021-03-4292-1,06.12.2033,2 г/3 лводы,"6,7 г",Опрыскивание газонов по вегетирующим сорным растениям через 1-2 дня после первого укоса. Запрещается пребывание людей на обработанных газонах в течение 3 дней после обработки,,1,III,964
oduvanchik,одуванчик,сорняк,gazon,газон,haker-300,Хакер 300,гербицид,021-03-3602-1,06.04.2032,"1,6-3,3 мл/ 3 л воды","5,3–11 мл",Опрыскивание газонов по вегетирующим сорным растениям после первого укоса. Запрещается пребывание людей на обработанных газонах в течение 3 дней,,1,III,966
oduvanchik,одуванчик,сорняк,zemli-neselhoznaznacheniya,земли несельхозназначения,ankor-85,Анкор-85,гербицид,111-03-2523-1,27.03.2026,"2,4 г/100м2",,Опрыскивание вегетирующих сорняков.,,1,III,1101
oduvanchik,одуванчик,сорняк,klubnika,клубника (земляника),gerbimaks,Гербимакс,гербицид,008-03-4377-0,23.01.2027,3 мл/3 лводы,10 мл,Опрыскивание вегетирующих сорных растений после сбора урожая,,1,III,957
oduvanchik,одуванчик,сорняк,klubnika,клубника (земляника),lornet,Лорнет,гербицид,018-03-2800-1,15.09.2030,3 мл/3 лводы,10 мл,Опрыскивание вегетирующих сорных растений после сбора урожая,,1,III,956
oduvanchik,одуванчик,сорняк,klubnika,клубника (земляника),haker-300,Хакер 300,гербицид,021-03-3602-1,06.04.2032,5-6 мл/ 3 лводы,"16,7–20 мл",Опрыскивание вегетирующих сорных растений после сбора урожая,,1,III,966
oduvanchik,одуванчик,сорняк,kormovye-travy,кормовые травы,gerbimaks,Гербимакс,гербицид,008-03-4377-0,23.01.2027,6 мл/5 лводы,12 мл,Опрыскивание газонов по вегетирующим сорным растениям после первого укоса,,1,III,957
oduvanchik,одуванчик,сорняк,kormovye-travy,кормовые травы,lornet,Лорнет,гербицид,018-03-2800-1,15.09.2030,6 мл/5 лводы,12 мл,Опрыскивание по вегетирующим растениям после первого укоса. Срок безопасного выхода пользователей на обработанные препаратом площади не ранее 3-х дней после обработки,,1,III,957
oidium,оидиум,болезнь,vinograd,виноград,albit,Альбит,фунгицид,081-02-2950-1,22.12.2030,3 мл/10 лводы,3 мл,"Опрыскивание в период вегетации в фазы: перед цветением, в начале формирования ягод (ягода размером с крупинку), смыкание ягод в грозди, окрашивание ягод",,4,III,436
oidium,оидиум,болезнь,vinograd,виноград,baktofit,Бактофит,фунгицид,034-02-2049-1,11.11.2028,30 мл/10 лводы,30 мл,"Опрыскивание в период вегетации: первое – профилактическое, последующие – с интервалом 8-10 дней",,3,III,329
oidium,оидиум,болезнь,vinograd,виноград,biokompozit-pro,Биокомпозит-Про,фунгицид,018-02-3837-1,24.10.2032,30 мл/10 лводы,30 мл,Опрыскивание растений в период вегетации и перед сбором урожая,7,4,III,339
oidium,оидиум,болезнь,vinograd,виноград,gekata,Геката,фунгицид,021-02-3255-1,04.08.2031,5-7 мл/ 10 лводы,5–7 мл,"Опрыскивание в пе¬риод вегетации: первая обработка – вес¬ной в фазе бутонизация – цветение, вторая – до смыкания ягод в грозди, дальнейшие обработки с интервалом 10-14 дней",30,4,III,411
oidium,оидиум,болезнь,vinograd,виноград,diskor,Дискор,фунгицид,002-02-3369-1,15.11.2031,4 мл/10 лводы,4 мл,"Опрыскивание в период вегетации. Первая обработка – весной в фазе бутонизация – цветение, вторая – до смыкания ягод в грозди, дальнейшие обработки с интервалом 10-14 дней",27,4,III,396
oidium,оидиум,болезнь,vinograd,виноград,medeya,Медея,фунгицид,018-02-4498-1,31.03.2034,10 мл/10 лводы,10 мл,"Опрыскивание в период вегетации: первое – профилактическое или при появлении первых признаков болезней, последующие с интервалом – 7-10 дней",28,4,III,413
oidium,оидиум,болезнь,vinograd,виноград,provizor,Провизор,фунгицид,046-02-5073-1,09.03.2030,6-8 мл/10 лводы,6–8 мл,"Опрыскивание в период вегетации: первое – профилактическое до цветения, последующее после цветения – с интервалом 7-14 дней",60,2,III,362
oidium,оидиум,болезнь,vinograd,виноград,ralli,Ралли,фунгицид,021-02-9607-0,30.09.2028,4-7 мл/10 лводы,4–7 мл,"Опрыскивание в период вегетации: первое опрыскивание -профилактическое в фазе видимое образование соцветия, последующие - с интервалом 10-12 дней.",30,3,III,389
oidium,оидиум,болезнь,vinograd,виноград,sera-400,Сера 400,инсектицид,046-01(02)-5059-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание – профилактическое, последующие – с интервалом 7-10 дней",,6,-,239
oidium,оидиум,болезнь,vinograd,виноград,sera-400,Сера 400,инсектицид,046-01(02)-5059-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание – профилактическое, последующие – с интервалом 7-10 дней",,6,-,239
oidium,оидиум,болезнь,vinograd,виноград,sera-400,Сера 400,фунгицид,018-01(02)-3725-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание – профилактическое, последующие – с интервалом 7-10 дней",,6,III,552
oidium,оидиум,болезнь,vinograd,виноград,sera-400,Сера 400,фунгицид,018-01(02)-3725-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание – профилактическое, последующие – с интервалом 7-10 дней",,6,III,552
oidium,оидиум,болезнь,vinograd,виноград,sera-900,Сера 900,фунгицид,1017-02(01)-10111-1,02.09.2036,50 мл/10 лводы,50 мл,Опрыскивание в период вегетации.,,4,III,553
oidium,оидиум,болезнь,vinograd,виноград,serpen,Серпень,фунгицид,008-02-3238-1,20.07.2031,5 мл/5 л воды,10 мл,"Опрыскивание в период вегетации: 1 – профилактическое, последующие с интервалом 10-14 дней",14,3,III,479
oidium,оидиум,болезнь,vinograd,виноград,silar,Силар,фунгицид,008-02-3711-1,07.06.2032,20 мл/л воды,200 мл,"Опрыскивание в период вегетации: первое – в фазу «видны соцветия» (51-53), последующие –с интервалом 7-10 дней после предыдущей обработки",12,3,III,498
oidium,оидиум,болезнь,vinograd,виноград,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,80 мл/10 лводы,80 мл,Опрыскивание в период вегетации с интервалом 10-14 дней.,,5,III,297
oidium,оидиум,болезнь,vinograd,виноград,fitosporin-m,Фитоспорин-М,фунгицид,016-02-2491-1,04.11.2029,20 мл/10 лводы,20 мл,"Опрыскивание в период вегетации: первое – профилактическое, последующее – с интервалом 8-10 дней",,4,III,316
oidium,оидиум,болезнь,vinograd,виноград,shrilank,Шриланк,фунгицид,021-02-4134-1,20.06.2033,"5,0-7,0 мл/10 л воды",5–7 мл,"Опрыскивание в период вегетации: первая обработка весной в фазе бутонизация – цветение, вторая – до смыкания ягод в грозди, дальнейшие обработки с интервалом 10-14 дней",12,4,III,461
osot,осот,сорняк,kapusta,капуста,haker-300,Хакер 300,гербицид,021-03-3602-1,06.04.2032,4 мл/ 3 лводы,"13,3 мл",Опрыскивание посадок после высадки рассады в грунт в фазу розетки у многолетних двудольных сорняков,60,1,III,966
osot,осот,сорняк,klubnika,клубника (земляника),gerbimaks,Гербимакс,гербицид,008-03-4377-0,23.01.2027,3 мл/3 лводы,10 мл,Опрыскивание вегетирующих сорных растений после сбора урожая,,1,III,957
osot,осот,сорняк,klubnika,клубника (земляника),lornet,Лорнет,гербицид,018-03-2800-1,15.09.2030,3 мл/3 лводы,10 мл,Опрыскивание вегетирующих сорных растений после сбора урожая,,1,III,956
osot,осот,сорняк,klubnika,клубника (земляника),haker-300,Хакер 300,гербицид,021-03-3602-1,06.04.2032,5-6 мл/ 3 лводы,"16,7–20 мл",Опрыскивание вегетирующих сорных растений после сбора урожая,,1,III,966
parsha,парша,болезнь,ayva,айва,abiga-pik,Абига-Пик,фунгицид,407-02-1316-1,25.12.2026,50 г/10 лводы,50 г,Опрыскивание в период вегетации- 10л/100 м2,30,4,III,654
parsha,парша,болезнь,grusha,груша,abiga-pik,Абига-Пик,фунгицид,407-02-1316-1,25.12.2026,50 г/10 лводы,50 г,Опрыскивание в период вегетации- 10л/100 м2,30,4,III,654
parsha,парша,болезнь,grusha,груша,bordoskaya-zhidkost,Бордоская жидкость,фунгицид,021-02-3994-1,01.03.2033,250 мл/10 лводы,250 мл,Ранневесеннее опрыскивание в фазе «зеленого конуса»,60,1,II,467
parsha,парша,болезнь,grusha,груша,bordoskaya-zhidkost,Бордоская жидкость,фунгицид,021-02-3994-1,01.03.2033,100 мл/10 лводы,100 мл,Опрыскивание по вегетации: первое после цветения; последующие – с интервалом 7 дней,38,3,II,468
parsha,парша,болезнь,grusha,груша,gekata,Геката,фунгицид,021-02-3255-1,04.08.2031,4-7 мл/ 10 лводы,4–7 мл,"Опрыскивание в период вегетации: первое в фазу «зеленый конус», последующие – с интервалом 7-14 дней (в зависимости от возраста и объема кроны)",60,3,III,410
parsha,парша,болезнь,grusha,груша,diskor,Дискор,фунгицид,002-02-3369-1,15.11.2031,2 мл/10 лводы,2 мл,"Опрыскивание в период вегетации в фазах: «зеленый конус», «розовый бутон», последующие – после цветения с интервалом 10-15 дней",28,4,III,395
parsha,парша,болезнь,grusha,груша,diskor,Дискор,фунгицид,002-02-3369-1,15.11.2031,2 мл/10 лводы,2 мл,"Опрыскивание в период вегетации в фазах: «зеленый конус», «розовый бутон», последующие – после цветения с интервалом 10-15 дней (в зависимости от возраста и сорта)",28,4,III,395
parsha,парша,болезнь,grusha,груша,indigo,Индиго,фунгицид,018-02-2300-1,30.06.2029,30-50 мл/10 лводы,30–50 мл,"Опрыскивание в период вегетации – первое в фазу «зелёный конус», последующие – с интервалом 7-10 дней",15,4,III,469
parsha,парша,болезнь,grusha,груша,indigo,Индиго,фунгицид,018-02-2300-1,30.06.2029,30-50 мл/10 лводы,30–50 мл,"Опрыскивание в период вегетации – первое в фазу «зелёный конус», последующие – с интервалом 7-10 дней",15,4,III,469
parsha,парша,болезнь,grusha,груша,plantenol-neo,Плантенол Нео,фунгицид,021-02-4358-1,11.01.2034,3 г/ 10 лводы,3 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней (в зависимости от возраста и объема кроны),60,2,III,662
parsha,парша,болезнь,grusha,груша,ralli,Ралли,фунгицид,021-02-9607-0,30.09.2028,10 мл/10 лводы,10 мл,Опрыскивание в период вегетации от фазы обособления бутона до фазы «сформировавшийся плод» с интервалом 10-14 дней.,12,4,III,389
parsha,парша,болезнь,grusha,груша,rangoli-kursor,Ранголи-Курсор,фунгицид,134-02-1406-1,09.03.2027,2 мл/10 лводы,2 мл,Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,28,4,III,400
parsha,парша,болезнь,grusha,груша,raek,Раёк,фунгицид,021-02-2611-1,18.03.2030,"1,5-2 мл/10 лводы","1,5–2 мл","Опрыскивание в период вегетации в фазах: «зеленый конус», «розовый бутон», последующие – после цветения с интервалом 10-15 дней",20,4,III,397
parsha,парша,болезнь,grusha,груша,sera-400,Сера 400,инсектицид,046-01(02)-5059-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание в фазу «зелёный конус», второе в фазу «розовый бутон» последующие – с интервалом 7-10 дней (в зависимости от возраста дерева и объема кроны)",,6,-,239
parsha,парша,болезнь,grusha,груша,sera-400,Сера 400,инсектицид,046-01(02)-5059-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание в фазу «зелёный конус», второе в фазу «розовый бутон» последующие – с интервалом 7-10 дней (в зависимости от возраста дерева и объема кроны)",,6,-,239
parsha,парша,болезнь,grusha,груша,sera-400,Сера 400,фунгицид,018-01(02)-3725-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание в фазу «зелёный конус», второе в фазу «розовый бутон» последующие – с интервалом 7-10 дней",,6,III,551
parsha,парша,болезнь,grusha,груша,sera-400,Сера 400,фунгицид,018-01(02)-3725-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание в фазу «зелёный конус», второе в фазу «розовый бутон» последующие – с интервалом 7-10 дней (в зависимости от возраста дерева и объема кроны)",,6,III,552
parsha,парша,болезнь,grusha,груша,sera-900,Сера 900,фунгицид,1017-02(01)-10111-1,02.09.2036,50 мл/10 лводы,50 мл,Опрыскивание в период вегетации.,,4,III,553
parsha,парша,болезнь,grusha,груша,skor,Скор,фунгицид,041-02-4371-0,22.01.2027,2 мл/10 лводы,2 мл,Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,20,3,III,394
parsha,парша,болезнь,grusha,груша,skoryy,Скорый,фунгицид,126-02-3456-1,27.12.2031,"3,5 мл/10 лводы","3,5 мл",Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,20,3,III,398
parsha,парша,болезнь,grusha,груша,stilus,Стилус,фунгицид,021-02-10006-0,09.06.2029,25-30 мл/10 лводы,25–30 мл,"Опрыскивание в период вегетации: первое в фазу ""зеленый конус"", последующие через 7-10 дней.",15,5,III,392
parsha,парша,болезнь,grusha,груша,horton,Хортон,фунгицид,008-02-3302-1,16.09.2031,6 мл/10 лводы,6 мл,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней,28,2,III,663
parsha,парша,болезнь,grusha,груша,horton,Хортон,фунгицид,008-02-3302-1,16.09.2031,2 г/10 л воды,2 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней,28,2,III,664
parsha,парша,болезнь,grusha,груша,horus,Хорус,фунгицид,041-02-4412-0,14.02.2027,2 г/10 лводы,2 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней.,28,2,III,665
parsha,парша,болезнь,grusha,груша,shrilank,Шриланк,фунгицид,021-02-4134-1,20.06.2033,"3,0 -3,5 мл/10 л вода","3–3,5 мл",Опрыскивание в период вегетации до и после цветения с интервалом не более 10-14 дней (в зависимости от возраста и объема кроны),21,3,III,461
parsha,парша,болезнь,kartofel,картофель,maksim,Максим,фунгицид,041-02-4335-0,24.12.2026,40 мл/1лводы,400 мл,Обработка клубней перед посадкой,,1,-,629
parsha,парша,болезнь,kartofel,картофель,prestizh,Престиж,фунгицид,019-02-2401-1,17.09.2029,70-100 мл/лводы,,Обработка клубней до посадки,,1,-,429
parsha,парша,болезнь,kartofel,картофель,prestizh-top,Престиж Топ,инсектицид,561-01-4296-1,10.12.2033,70-100 мл/лводы,,Обработка семян перед посевом,,1,-,231
parsha,парша,болезнь,kartofel,картофель,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,30 мл/30 мл воды,,Обработка при закладке на хранение.,,1,III,297
parsha,парша,болезнь,yablonya,яблоня,abiga-pik,Абига-Пик,фунгицид,407-02-1316-1,25.12.2026,50 г/10 лводы,50 г,Опрыскивание в период вегетации- 10л/100 м2,30,4,III,654
parsha,парша,болезнь,yablonya,яблоня,baktofit,Бактофит,фунгицид,034-02-2049-1,11.11.2028,30-50 мл/10 лводы,30–50 мл,"Опрыскивание в период вегетации: первое – профилактическое, последующее – с интервалом 8-10 дней",,3,III,329
parsha,парша,болезнь,yablonya,яблоня,biokompozit-pro,Биокомпозит-Про,фунгицид,018-02-3837-1,24.10.2032,30 мл/10 лводы,30 мл,Опрыскивание растений в период вегетации и перед сбором урожая,7,4,III,339
parsha,парша,болезнь,yablonya,яблоня,bordoskaya-zhidkost,Бордоская жидкость,фунгицид,021-02-3994-1,01.03.2033,250 мл/10 лводы,250 мл,Ранневесеннее опрыскивание в фазе «зеленого конуса»,60,1,II,467
parsha,парша,болезнь,yablonya,яблоня,bordoskaya-zhidkost,Бордоская жидкость,фунгицид,021-02-3994-1,01.03.2033,100 мл/10 лводы,100 мл,Опрыскивание по вегетации: первое после цветения; последующие – с интервалом 7 дней,38,3,II,468
parsha,парша,болезнь,yablonya,яблоня,bordoskaya-smes-f,Бордоская смесь-Ф,фунгицид,149-02-4542-1,02.05.2034,100 г сульфатамеди +100 г кальция гидроксида/1 0 л воды,,Опрыскивание в период вегетации 1% рабочим раствором,25,6,III,465
parsha,парша,болезнь,yablonya,яблоня,gamair,Гамаир,фунгицид,139-02-2349-1,14.08.2029,5-10 таб. /10 л,5–10 таб,"Опрыскивание растений в период вегетации в фазах розовый бутон, после цветения, плод размером с лесной орех",,3,III,332
parsha,парша,болезнь,yablonya,яблоня,gekata,Геката,фунгицид,021-02-3255-1,04.08.2031,4-7 мл/ 10 лводы,4–7 мл,"Опрыскивание в период вегетации: первое в фазу «зеленый конус», последующие – с интервалом 7-14 дней (в зависимости от возраста и объема кроны)",60,3,III,410
parsha,парша,болезнь,yablonya,яблоня,diskor,Дискор,фунгицид,002-02-3369-1,15.11.2031,2 мл/10 лводы,2 мл,"Опрыскивание в период вегетации в фазах: «зеленый конус», «розовый бутон», последующие – после цветения с интервалом 10-15 дней",28,4,III,395
parsha,парша,болезнь,yablonya,яблоня,diskor,Дискор,фунгицид,002-02-3369-1,15.11.2031,2 мл/10 лводы,2 мл,"Опрыскивание в период вегетации в фазах: «зеленый конус», «розовый бутон», последующие – после цветения с интервалом 10-15 дней (в зависимости от возраста и сорта)",28,4,III,395
parsha,парша,болезнь,yablonya,яблоня,indigo,Индиго,фунгицид,018-02-2300-1,30.06.2029,30-50 мл/10 лводы,30–50 мл,"Опрыскивание в период вегетации – первое в фазу «зелёный конус», последующие – с интервалом 7-10 дней",15,4,III,469
parsha,парша,болезнь,yablonya,яблоня,indigo,Индиго,фунгицид,018-02-2300-1,30.06.2029,30-50 мл/10 лводы,30–50 мл,"Опрыскивание в период вегетации – первое в фазу «зелёный конус», последующие – с интервалом 7-10 дней",15,4,III,469
parsha,парша,болезнь,yablonya,яблоня,kleymor,Клеймор,фунгицид,021-02-3060-1,26.12.2025,10 мл/10 лводы,10 мл,Опрыскивание в период вегетации в фазе созревания плодов (за 21 и 10 дней до уборки урожая),12,2,III,628
parsha,парша,болезнь,yablonya,яблоня,kleymor,Клеймор,фунгицид,021-02-3060-1,26.12.2025,10 мл/10 лводы,10 мл,Опрыскивание в период вегетации в фазе созревания плодов (за 21 и 10 дней до уборки урожая) (в зависимости от возраста и объема кроны),12,2,III,628
parsha,парша,болезнь,yablonya,яблоня,medeya,Медея,фунгицид,018-02-4498-1,31.03.2034,10 мл/10 лводы,10 мл,"Опрыскивание в период вегетации: первое – профилактическое или при появлении первых признаков болезней, последующие с интервалом – 7-10 дней",28,4,III,412
parsha,парша,болезнь,yablonya,яблоня,medeya,Медея,фунгицид,018-02-4498-1,31.03.2034,10 мл/10 лводы,10 мл,"Опрыскивание в период вегетации: первое – профилактическое или при появлении первых признаков болезней, последующие с интервалом – 7-10 дней",28,4,III,412
parsha,парша,болезнь,yablonya,яблоня,plantenol-neo,Плантенол Нео,фунгицид,021-02-4358-1,11.01.2034,3 г/ 10 лводы,3 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней (в зависимости от возраста и объема кроны),60,2,III,662
parsha,парша,болезнь,yablonya,яблоня,ralli,Ралли,фунгицид,021-02-9607-0,30.09.2028,10 мл/10 лводы,10 мл,Опрыскивание в период вегетации от фазы обособления бутона до фазы «сформировавшийся плод» с интервалом 10-14 дней.,12,4,III,389
parsha,парша,болезнь,yablonya,яблоня,rangoli-kursor,Ранголи-Курсор,фунгицид,134-02-1406-1,09.03.2027,2 мл/10 лводы,2 мл,Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,28,4,III,400
parsha,парша,болезнь,yablonya,яблоня,raek,Раёк,фунгицид,021-02-2611-1,18.03.2030,"1,5-2 мл/10 лводы","1,5–2 мл","Опрыскивание в период вегетации в фазах: «зеленый конус», «розовый бутон», последующие – после цветения с интервалом 10-15 дней",20,4,III,397
parsha,парша,болезнь,yablonya,яблоня,sera-400,Сера 400,инсектицид,046-01(02)-5059-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание в фазу «зелёный конус», второе в фазу «розовый бутон» последующие – с интервалом 7-10 дней (в зависимости от возраста дерева и объема кроны)",,6,-,239
parsha,парша,болезнь,yablonya,яблоня,sera-400,Сера 400,инсектицид,046-01(02)-5059-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание в фазу «зелёный конус», второе в фазу «розовый бутон» последующие – с интервалом 7-10 дней (в зависимости от возраста дерева и объема кроны)",,6,-,239
parsha,парша,болезнь,yablonya,яблоня,sera-400,Сера 400,фунгицид,018-01(02)-3725-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание в фазу «зелёный конус», второе в фазу «розовый бутон» последующие – с интервалом 7-10 дней",,6,III,551
parsha,парша,болезнь,yablonya,яблоня,sera-400,Сера 400,фунгицид,018-01(02)-3725-1,04.07.2032,100 мл/10 лводы,100 мл,"Опрыскивание в период вегетации: первое опрыскивание в фазу «зелёный конус», второе в фазу «розовый бутон» последующие – с интервалом 7-10 дней (в зависимости от возраста дерева и объема кроны)",,6,III,552
parsha,парша,болезнь,yablonya,яблоня,sera-900,Сера 900,фунгицид,1017-02(01)-10111-1,02.09.2036,50 мл/10 лводы,50 мл,Опрыскивание в период вегетации.,,4,III,553
parsha,парша,болезнь,yablonya,яблоня,silar,Силар,фунгицид,008-02-3711-1,07.06.2032,20 мл/л воды,200 мл,"Опрыскивание растений в период вегетации: первое – при появлении первых признаков болезней, последующие с интервалом 7-10 дней",12,3,III,498
parsha,парша,болезнь,yablonya,яблоня,skor,Скор,фунгицид,041-02-4371-0,22.01.2027,2 мл/10 лводы,2 мл,Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,20,3,III,394
parsha,парша,болезнь,yablonya,яблоня,skoryy,Скорый,фунгицид,126-02-3456-1,27.12.2031,"3,5 мл/10 лводы","3,5 мл",Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,20,3,III,398
parsha,парша,болезнь,yablonya,яблоня,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,80 мл/10 лводы,80 мл,Опрыскивание в период вегетации с интервалом 10-14 дней.,,5,III,297
parsha,парша,болезнь,yablonya,яблоня,stilus,Стилус,фунгицид,021-02-10006-0,09.06.2029,25-30 мл/10 лводы,25–30 мл,"Опрыскивание в период вегетации: первое в фазу ""зеленый конус"", последующие через 7-10 дней.",15,5,III,392
parsha,парша,болезнь,yablonya,яблоня,fitosporin-m,Фитоспорин-М,фунгицид,016-02-2491-1,04.11.2029,20 мл/10 лводы,20 мл,"Опрыскивание в период вегетации в фазы: розовый бутон, начало цветения, после цветения, завязь размером до 1,5 см, плод размером с «лещину»",,5,III,316
parsha,парша,болезнь,yablonya,яблоня,horton,Хортон,фунгицид,008-02-3302-1,16.09.2031,6 мл/10 лводы,6 мл,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней,28,2,III,663
parsha,парша,болезнь,yablonya,яблоня,horton,Хортон,фунгицид,008-02-3302-1,16.09.2031,2 г/10 л воды,2 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней,28,2,III,664
parsha,парша,болезнь,yablonya,яблоня,horus,Хорус,фунгицид,041-02-4412-0,14.02.2027,2 г/10 лводы,2 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней.,28,2,III,665
parsha,парша,болезнь,yablonya,яблоня,shirma,Ширма,фунгицид,018-02-1433-1,29.03.2027,5-7 мл/10 лводы,5–7 мл,"Опрыскивание в период вегетации: первое опрыскивание профилактическое в фазу «зеленый конус» или «розовый бутон», последующие с интервалом 7-10 дней",30,3,III,623
parsha,парша,болезнь,yablonya,яблоня,shrilank,Шриланк,фунгицид,021-02-4134-1,20.06.2033,"3,0 -3,5 мл/10 л вода","3–3,5 мл",Опрыскивание в период вегетации до и после цветения с интервалом не более 10-14 дней (в зависимости от возраста и объема кроны),21,3,III,461
pautinnyy-klesch,паутинный клещ,вредитель,baklazhan,баклажан,fitoverm-forte,Фитоверм Форте,инсектицид,012-01-1326-1,12.01.2027,20 мл/10 лводы,20 мл,Опрыскивание в период вегетации,3,3,III,43
pautinnyy-klesch,паутинный клещ,вредитель,vinograd,виноград,karachar,Карачар,инсектицид,018-01-3146-1,17.05.2031,4 мл/10 лводы,4 мл,Опрыскивание в период вегетации (в зависимости от типа формировки куста и облист-венности),30,2,I,197
pautinnyy-klesch,паутинный клещ,вредитель,vinograd,виноград,matrinbio,МатринБио,инсектицид,021-01-2672-1,12.05.2030,10-15 мл/10 лводы,10–15 мл,Опрыскивание в период вегетации (в зависимости от возраста и типа формирования куста),3,3,III,222
pautinnyy-klesch,паутинный клещ,вредитель,vinograd,виноград,sera-400,Сера 400,инсектицид,046-01(02)-5059-1,04.07.2032,100 мл/10 лводы,100 мл,Опрыскивание в период вегетации,,6,-,239
pautinnyy-klesch,паутинный клещ,вредитель,vinograd,виноград,sera-400,Сера 400,инсектицид,046-01(02)-5059-1,04.07.2032,100 мл/10 лводы,100 мл,Опрыскивание в период вегетации,,6,-,239
pautinnyy-klesch,паутинный клещ,вредитель,vinograd,виноград,sera-400,Сера 400,фунгицид,018-01(02)-3725-1,04.07.2032,100 мл/10 лводы,100 мл,Опрыскивание в период вегетации,,6,III,552
pautinnyy-klesch,паутинный клещ,вредитель,vinograd,виноград,sera-400,Сера 400,фунгицид,018-01(02)-3725-1,04.07.2032,100 мл/10 лводы,100 мл,Опрыскивание в период вегетации,,6,III,552
pautinnyy-klesch,паутинный клещ,вредитель,vinograd,виноград,sera-900,Сера 900,фунгицид,1017-02(01)-10111-1,02.09.2036,50 мл/10 лводы,50 мл,Опрыскивание в период вегетации.,,4,III,1834
pautinnyy-klesch,паутинный клещ,вредитель,klubnika,клубника (земляника),doktor-harvest-forte-pro,Доктор Харвест Форте Про,инсектицид,909-01-4367-1,16.01.2034,10-50 мл/100 м2,,Опрыскивание в период вегетации,,5,I,232
pautinnyy-klesch,паутинный клещ,вредитель,klubnika,клубника (земляника),fitoverm,Фитоверм,инсектицид,930-01-4745-1,02.12.2034,10-30 мл/100 м2,,"Опрыскивание в период вегетации в концентрации 0,2%",15,2,I,46
