reg_no,name,kind,use_product,registrant,ogrn,reg_date,reg_until,status,n_brands,brands
302-11-2325-1,Нитроаммофоска с микроэлементами,комплексное NPK,ЛС,ОАО «МИНУДОБРЕНИЯ»,,24.07.2019,23.07.2029,Действует,4,NPK 16-9-20 | 14-8-22 | 14-8-24 | 15-9-20
263-10-1274-1,Нитроаммофоска улучшенногогранулометрического состава,комплексное NPK,ЛС,АО «Невинномысский Азот»,1022603620885,16.11.2016,15.11.2026,Действует,5,"16:16:16 | 8:24:24 | 17:0,1:28 | 21:0,1:21 | 15:24:16"
390-19-3903-1,Нитрокод РБ+,прочее,ЛС,Агропромышленная компания Кимитек С.Л.,,13.12.2022,12.12.2032,Действует,3,Нут | Соя | Горох
289-11-575-1,Нитротоп,прочее,C,«Агронутрисион»,,02.03.2015,01.03.2025,Не действует,0,
283-19-3140-1,Нитрофикс П,прочее,C,ООО СХП «НИВА»,1149102116426,18.05.2021,17.05.2031,Действует,0,
283-19-3139-1,"Нитрофикс, Ж",прочее,C,ООО СХП «НИВА»,1149102116426,18.05.2021,17.05.2031,Действует,0,
293-10-2761-1,Новалон,комплексное NPK,C,ДОКТОР ТАРСА ТАРИМ САНАЙИ ВЕ ТИКАРЕТ А.С.,,21.08.2020,20.08.2030,Действует,3,Новалон 03-07-37+2MgO+ МЭ | Новалон 13-40-13+МЭ | Новалон 19-19-19+2MgO+ МЭ
293-11-4324-1,Новалон Фолиар,комплексное NPK,ЛС,ДОКТОР ТАРСА ТАРИМ САНАЙИ ВЕ ТИКАРЕТ А.С.,,20.12.2023,бессрочно,Действует,4,"Новалон Фолиар 20-20-20+0,5MgO+ МЭ | Новалон Фолиар 10-45-15+0,5MgO+ МЭ | Новалон Фолиар 09-12-40+0,5MgO+ МЭ | Новалон Фолиар 29-11-11+0,5MgO+ МЭ"
515-19-2044-1,Нодикс,прочее,,ООО «МИКРОБОКС»,1164704065668,02.11.2018,01.11.2028,Действует,3,Премиум | С | Ж
261-19-595-1,Ноктин А для люпина,прочее,C,ООО «АГРОЛИГА»,,12.03.2015,11.03.2025,Не действует,0,
401-10-2104-1,Нутри-Файт РК,прочее,ЛС,"Агропланта ГмбХ, Ко. КГ",,18.02.2019,17.02.2029,Действует,0,
261-11-609-1,Нутривант,комплексное NPK,ЛС,Эверрис Интернешнл Б.В.,,26.03.2015,25.03.2025,Не действует,3,18-18-18+2МgO | 18-18-18+3МgO | 18-18-18+4МgO
425-11-1435-1,Нутривант Дрип,комплексное NPK,,,,31.03.2017,30.03.2027,Действует,9,10-50-10 | 30-6-6 | 24-8-8 | 25-3-25 | 27-9-18 | 28-13-13 | 16-32-16 | 18-0-36 | 17-3-35
425-11-1430-1,Нутривант Плюс,прочее,,,,30.03.2017,29.03.2027,Действует,0,
528-13-2296-1,Нутрилене,микроудобрение,C,СИПКАМ ОКСОН С.П.А.,,01.07.2019,30.06.2029,Действует,5,Нутрилене Пеарл | Нутрилене Голд | Нутрилене Брик | Маркита Кальций | Марвита B-Mg
572-18-2407-1,О-РАЙЗ,микроудобрение,C,ООО «ИПК «О-РАЙЗ»,1172651020453,20.09.2019,19.09.2029,Действует,21,О-РАЙЗ Органик | О-РАЙЗ Плюс | О-РАЙЗ Зеленый город | О-РАЙЗ Гольф | О-РАЙЗ Тропик | О-РАЙЗ Все включено | О-РАЙЗ Ультра все включено | О-РАЙЗ В | О-РАЙЗ Cu | О-РАЙЗ Fe | О-РАЙЗ S | О-РАЙЗ Zn | О-РАЙЗ Zn+Cu | О-РАЙЗ S+Cu | О-РАЙЗ В+Zn | О-РАЙЗ В+Mn | О-РАЙЗ В+Мо | О-РАЙЗ Cu+Мо | О-РАЙЗ Cu+В | О-РАЙЗ Zn+S | О-РАЙЗ В+Fe
545-12-2193-1,ОМИА,кальциевое / известкование,C,ООО «ОМИА УРАЛ»,1037739950434,09.04.2019,08.04.2029,Действует,2,Кальциприлл 110-ЛФ | Магприлл 80-ЛФ
830-13-3772-1,ОМЭК Универсал,комплексное NPK,ЛС,АО «Биоамид»,,24.08.2022,23.08.2032,Действует,0,
289-10-2437-1,ОйлСтарт,прочее,C,«Агронутрисион»,,21.10.2019,20.10.2029,Действует,0,
289-11-1046-1,Олигомакс Аква,комплексное NPK,ЛС,«Агронутрисион»,,23.03.2016,22.03.2026,Не действует,6,"25-10-10 | 16-8-24 | 5-5-40,5 | 13-40-13 | 19-19-19 | 0,5-2,5-0,5"
194-10-879-1,Омекс,биоудобрение,C,ООО «АгроАльянс»,,10.12.2015,09.12.2025,Не действует,6,Био Цинк | Кингфол Сера | Кингфол Цинк | МаисМакс | Сульфомекс | Фолиар Суприм
194-13-323-1,Омекс,биоудобрение,C,ООО «АгроАльянс»,,15.04.2014,14.04.2024,Не действует,2,Омекс Био 20 | Омекс КальМакс Голд
194-10-481-1,Омекс ДР98,прочее,C,ООО «АгроАльянс»,,18.12.2014,17.12.2024,Не действует,0,
545-11-4885-1,ОмиаПро Соил,прочее,ЛС,ООО «ОМИА УРАЛ»,1037739950434,10.06.2025,бессрочно,Действует,0,
292-11-4392-1,Опифол Вегетатив,прочее,C,Валагро С.п.А.,,30.01.2024,бессрочно,Действует,0,
292-11-4391-1,Опифол Репродуктив,прочее,C,Валагро С.п.А.,,30.01.2024,бессрочно,Действует,0,
292-11-3712-1,Опифол Эквилибриум,прочее,C,Валагро С.п.А.,,09.06.2022,бессрочно,Действует,0,
296-13-641-1,Оптим-МИКС,прочее,ЛС,ОАО «Тихорецкая семеноводческая станция»,,20.04.2015,19.04.2025,Не действует,0,
090-21-3220-1,Оптимайз 400,прочее,C,Байер Агрикалче БВ,,13.09.2016,12.09.2026,Не действует,0,
998-11-9939-1,Оптимайзер,прочее,C,Лаборатуар Гоемар С.А.С.,,06.05.2026,05.05.2036,Действует,0,
247-10-4507-1,Оптимум,прочее,C,ООО «АгроМастер»,1102308006877,03.04.2014,бессрочно,Действует,0,
359-11-2036-1,Оптисил,прочее,C,ООО «ИНТЕРМАГ сп.з.о.о,,12.11.2018,11.11.2028,Действует,0,
320-11-753-1,Оракул,микроудобрение,ЛС,МЧ НИП «Долина»,,17.08.2015,16.08.2025,Не действует,12,Оракул мультикомплекс | Оракул биокомплекс | Оракул коламин бор | Оракул биоцинк | Оракул семена | Оракул биожелезо | Оракул биомарганец | Оракул хелат меди | Оракул сера актив | Оракул хелат магния | Оракул биокобальт | Оракул биомолибден
713-20-3188-1,Органик Микс,комплексное NPK,ЛС,ООО «ОРГАНИК МИКС»,1187325001775,22.06.2021,21.06.2031,Действует,11,Органик Микс NPK 4-5-1 | Органик Микс NPK 4-6-1 | Органик Микс NPK 3-5-1 | Органик Микс NPK 7-7-5 | Органик Микс NPK 7-6-6 | Органик Микс NPK 4-2-1 | Органик Микс NPK 7-3-10 | Органик Микс NPK 10-0-0 | Органик Микс NPK 3-13 | Органик Микс NPK 5-2 | Органик Микс NPK 3-5-12
991-20-9732-1,Органик Пауэр Для зерновых и зернобобовых культур,прочее,ЛС,"ООО ""ШАХКОАЛ""",1197154008336,18.12.2025,17.12.2035,Действует,6,Для садовых цветов | Для овощных культур и зелени | Для плодово-ягодных культур | Для хвойных | Для зерновых и зернобобовых культур | Для комнатных цветов
222-19-1419-1,Органит Н,прочее,ЛС,ООО «ОРГАНИК ПАРК»,1127746020918,17.03.2017,16.03.2027,Действует,0,
173-19-1300-1,Органит П,прочее,ЛС,ООО «ОРГАНИК ПАРК»,1127746020918,12.12.2016,11.12.2026,Действует,0,
173-19-4195-1,Органит Ризо,прочее,C,ООО «ОРГАНИК ПАРК»,1127746020918,11.09.2023,10.09.2033,Действует,0,
222-19-1420-1,Органит Стерн,прочее,C,ООО «ОРГАНИК ПАРК»,1127746020918,17.03.2017,16.03.2027,Действует,0,
173-19-4031-1,Органит Стерн-М,прочее,ЛС,ООО «ОРГАНИК ПАРК»,1127746020918,15.03.2023,14.03.2033,Действует,0,
862-18-4001-1,Органический комплекс Рефитон,органическое,ЛС,ООО «ПРОМСТИЛЬ»,1166234075875,06.03.2023,05.03.2033,Действует,0,
361-20-1074-1,Органическое удобрение «АГРОПИК-ЭКО»,органическое,ЛС,ООО «Терра»,,12.04.2016,11.04.2026,Не действует,3,А | Б | В
877-20-4177-1,Органическое удобрение АГРОКОМПОСТ АКГ,органическое,ЛС,ООО АГРОКУЛЬТУРА ГРУПП,1145019001050,14.08.2023,13.08.2033,Действует,0,
855-20-3955-1,Органическое удобрение Агробел,органическое,C,ООО «ГК АГРО-БЕЛОГОРЬЕ»,1073123019970,16.01.2023,15.01.2033,Действует,0,
485(486)-20-1896-1,Органическое удобрение Агроплюс,органическое,C,ООО «ВСГЦ»,1156027006145,27.04.2018,26.04.2028,Действует,0,
691-20-3106-1,Органическое удобрение Алга,органическое,Л,Бертелс Б.В.,,12.04.2021,11.04.2031,Действует,2,Алга Гроу | Алга Блум
608-20-2594-1,Органическое удобрение Аминоэкспресс,органическое,ЛС,"ООО ""ЛЕБОЗОЛ ВОСТОК""",1127746259541,16.03.2020,15.03.2030,Не действует,0,
608-20-4818-1,Органическое удобрение Аминоэкспресс,органическое,ЛС,ООО «Лебозол Восток»,1127746259541,12.05.2025,15.03.2030,Действует,0,
542-20-2169-1,Органическое удобрение Барда мелассная,органическое,ЛС,АО «БИОХИМ»,1026801115274,09.04.2019,08.04.2029,Действует,0,
837-20-3822-1,Органическое удобрение Белагро,органическое,C,ООО «МПЗ АГРО-БЕЛОГОРЬЕ»,1083123013258,17.10.2022,16.10.2032,Действует,0,
788-20-3521-1,Органическое удобрение Белогор,органическое,ЛС,АО Приосколье,1033107033882,10.03.2022,09.03.2032,Действует,0,
352-20-1036-1,Органическое удобрение Био-Марэ,биоудобрение,ЛС,ООО «Биотехнология»,,15.03.2016,14.03.2026,Не действует,4,Био-Фиш | Био-Альго | Био-Микс | Био-Флора
421-20-1404-1,Органическое удобрение БиоКомпост «Тверской»,биоудобрение,C,ООО «Тверь Водоканал»,1056900217989,06.03.2017,05.03.2027,Действует,0,
564-20-2363-1,Органическое удобрение Биогумус Гермеция,биоудобрение,ЛС,ООО «Экобелок»,5177746032855,30.08.2019,29.08.2029,Действует,3,Гермеция | Гермеция-палочки | Гермеция-гранулы
596-20-2506-1,Органическое удобрение Биоком,биоудобрение,ЛС,ООО АГРО-ТЕХНОЛОГИИ,1146440000541,27.12.2019,26.12.2029,Действует,2,Сыпучий | Гранулы
897-20-4290-1,Органическое удобрение Биокомпост Белгородский,биоудобрение,ЛС,ООО Белгородский бройлер,1213100010188,04.12.2023,03.12.2033,Действует,0,
762-20-3282-1,Органическое удобрение Биокомпост В,биоудобрение,C,МУП «ВЛАДИМИРВОДОКАНАЛ»,1023301463239,03.09.2021,02.09.2031,Действует,0,
793-20-3530-1,Органическое удобрение Биокомпост Индивита,биоудобрение,ЛС,ООО «ПЕНЗАМОЛИНВЕСТ»,1075827000831,17.03.2022,16.03.2032,Действует,3,Универсальный | Гранулированный | Органик
020-20-2446-1,Органическое удобрение Биокомпост Сибирский,биоудобрение,ЛС,ООО КУЗБАССКИЙ БРОЙЛЕР,1084238001099,01.11.2019,31.10.2029,Действует,3,Сыпучий | Гранулы | Жидкий
431-20-1471-1,Органическое удобрение Биокомпост Ярославский бройлер,биоудобрение,ЛС,АО «Ярославский бройлер»,1027601109524,19.04.2017,18.04.2027,Действует,2,Сыпучий | Гранулы
992-20-9752-1,Органическое удобрение Биополе-3,биоудобрение,C,"АО ""ПРОТЕИНСИБ""",1217200013568,12.01.2026,11.01.2036,Действует,0,
642-20-3697-1,Органическое удобрение Биофорс,биоудобрение,C,"ООО ""ТЕТРА ХИМ""",1167746491681,31.05.2022,30.05.2032,Действует,2,Биофорс | Биофорс Плюс
756-20-3258-1,Органическое удобрение Боровково,органическое,C,ООО «БОРОВКОВО»,1064238000210,10.08.2021,09.08.2031,Действует,2,Сухое | Жидкое
948-20-4666-1,Органическое удобрение ГМК,органическое,Л,ООО «Грайворонская молочная компания»,1073116000352,16.09.2024,15.09.2034,Действует,2,Жидкое | Сухое
863(864)-20-4000-1,Органическое удобрение Грандэм,органическое,ЛС,ООО «РАВИС – ПТИЦЕФАБРИКА» СОСНОВСКАЯ»,1027401864258,03.03.2023,02.03.2033,Действует,2,ПС | П
514-20-2040-1,Органическое удобрение Гринекс,органическое,ЛС,ООО «Птицефабрика Акашевская»,1051201011245,02.11.2018,01.11.2028,Действует,2,Сыпучий | Гранулы
644-20-2853-1,Органическое удобрение Деревня Недюревка,органическое,ЛС,ЗАО «ПТИЦЕФАБРИКА АЛЕКСАНДРОВСКАЯ»,1023303153631,26.10.2020,25.10.2030,Действует,0,
500-20-1960-1,Органическое удобрение Заока,органическое,ЛС,ООО «Заокское»,1157154021408,07.07.2018,06.07.2028,Действует,2,Сыпучий | Гранулы
731-20-3226-1,Органическое удобрение Инское,органическое,ЛС,ООО «ПТИЦЕФАБРИКА ИНСКАЯ»,"1024200552628, 1025005324354",10.08.2021,14.07.2031,Действует,2,А | Б
599-20-2527-1,Органическое удобрение Компост Эко-Био,биоудобрение,C,ООО АГРОКОМПОСТ,1167746579065,03.02.2020,02.02.2030,Действует,0,
807-20-3633-1,Органическое удобрение Кузбасский компост,органическое,ЛС,АО «КУЗБАССКАЯ ПТИЦЕФАБРИКА»,1064238008416,14.04.2022,13.04.2032,Действует,0,
938-20-4619-1,Органическое удобрение Мышкинская птицефабрика,органическое,ЛС,ООО Возрождение,1057602368350,24.06.2024,23.06.2034,Действует,0,
890-20-4246-0,Органическое удобрение ОМУ,органическое,C,ООО Агрокомплекс Горноуральский,1036603485467,10.11.2023,09.11.2026,Действует,2,Ж | Т
663-20-3052-1,Органическое удобрение ОУК АРЕАЛ,органическое,ЛС,ООО НПП АРЕАЛ,1160280113245,15.03.2021,14.03.2031,Действует,0,
754-20-4097-1,Органическое удобрение Органика,органическое,ЛС,ООО «ПТИЦЕФАБРИКА ИНСКАЯ»,1024200552628,01.07.2023,30.06.2033,Действует,0,
552-20-2236-1,Органическое удобрение ПК,органическое,C,ООО «КОРАЛЛ»,1106906000101,23.05.2019,22.05.2029,Действует,3,А | В | С
667-20-3015-1,Органическое удобрение Подпрессовый Бульон,органическое,C,ООО ЭКОЛОГИЧЕСКИЙ РЕЗЕРВ,1024101035441,10.02.2021,09.02.2031,Действует,0,
727-20-3204-1,Органическое удобрение Полиорганика,органическое,ЛС,ООО «НАУЧНО-ПРОИЗВОДСТВЕН НОЕ ОБЪЕДИНЕНИЕ «КВАНТОВЫЕ ТЕХНОЛОГИИ»,1185007005809,08.07.2021,07.07.2031,Действует,3,КРС | Свиной | Птичий
918-20-4438-1,Органическое удобрение Росторганик,органическое,C,"ООО ""ЧЕРКИЗОВО-СВИНОВОДСТ ВО",1144827007885,29.02.2024,28.02.2034,Действует,0,
918-20-9726-1,Органическое удобрение Росторганик-Т Жидкий,органическое,C,"ООО ""ЧЕРКИЗОВО-СВИНОВОДСТ ВО",1144827007885,15.12.2025,14.12.2035,Действует,3,Жидкий | Сыпучий | Микс
491-18-1922-1,Органическое удобрение Санамикс,органическое,ЛС,ИП Машошин Илья Михайлович,315910200038921,23.05.2018,22.05.2028,Действует,1,"жидкий, пастообразный"
763-20-3287-1,Органическое удобрение Сила роста,органическое,C,ЗАО «ЗАВОД ПРЕМИКСОВ № 1»,1043104002391,07.09.2021,06.09.2031,Действует,0,
733-20-3224-1,Органическое удобрение Снежинское,органическое,ЛС,ООО «ПЛЕМЕННАЯ ПТИЦЕФАБРИКА «СНЕЖИНСКАЯ»,1024200547986,15.07.2021,14.07.2031,Действует,0,
982-20-9608-0,Органическое удобрение Стимикс Стандарт Стимикс Стандарт Овощи,органическое,ЛС,"ООО НПО БИОЦЕНТР ""ДОН""",1116193004047,01.10.2025,01.10.2028,Действует,8,Стимикс Стандарт Зерно | Стимикс Стандарт Универсал | Стимикс Стандарт Ультра | Стимикс Стандарт Подсолнечник | Стимикс Стандарт Кукуруза | Стимикс Стандарт Овощи | Стимикс Стандарт Профи | Стимикс Стандарт Картофель
595-20-4563-1,Органическое удобрение Удачный сезон,органическое,ЛС,АО «КУРИНОЕ ЦАРСТВО»,,04.02.2020,03.02.2030,Действует,2,Сыпучий | Гранулы
594-20-3388-1,Органическое удобрение Удачный сезон-Т,органическое,ЛС,АО «КУРИНОЕ ЦАРСТВО»,,27.12.2019,26.12.2029,Действует,1,Сыпучий
691-20-3107-1,Органическое удобрение Шуга Роял,органическое,Л,Бертелс Б.В.,,12.04.2021,11.04.2031,Действует,0,
611-20-3821-0,Органическое удобрение ЭкоТерра,органическое,ЛС,ИП Ханов Ришат Мидхатович,306027621300031,17.10.2022,16.10.2032,Действует,2,ЭкоТерра-Т | ЭкоТерра-Ж
448-20-1541-1,Органическое удобрение Экокомпост,органическое,ЛС,ООО «Птицефабрика «Вараксино»,1111841002932,28.08.2017,27.08.2027,Действует,1,Сыпучий
487-20-1912-1,Органическое удобрение Экостайл с микроорганизмами,органическое,ЛС,ООО «НеоТорг»,5087746110040,14.05.2018,13.05.2028,Действует,10,Газон-Азет | Сиртаюн-Азет | Розен-Азет | РодоАзалия-Азет | Хаген –Азет | Кониферен-Азет | Гортензия-Азет | Аардбаен-Азет | Зомерблуйерс-Азет | Терра Фертиел
579-20-2426-1,Органическое удобрение Экочар Гранулированный,органическое,ЛС,ЗАО Краснобор,1027101730314,15.10.2019,14.10.2029,Действует,0,
883-20-4203-1,Органическое удобрение из куриного помета,биоудобрение,ЛС,Птицефабрика Уссурийская,1032500528895,12.10.2023,11.10.2033,Действует,3,Гигантин | Гигантин Эко | Гигантин Био
976-20-4841-1,Органическое удобрение из побочных продуктов животноводства свиного навоза Кудряшовское,органическое,C,"АО ""КУДРЯШОВСКОЕ""",1025404349750,03.04.2025,02.04.2035,Действует,2,Твердая | Жидкая
614-20-2588-1,Органическое удобрение компост Окский Чистый,органическое,ЛС,АО «ОКСКОЕ»,1026200703275,02.04.2020,01.04.2030,Действует,2,Сыпучий | Гранулы
894-20-4266-1,Органическое удобрение на основе бесподстилочного навоза свиного Уральский,органическое,C,АО «Свинокомплекс «Уральский»,1069658083560,23.11.2023,22.11.2033,Действует,0,
765-20-3299-1,Органическое удобрение на основе навоза свиней Фитовит,органическое,C,ООО «ТАМБОВСКИЙ БЕКОН»,1106821000252,17.09.2021,16.09.2031,Действует,3,Фитовит 1 | Фитовит 2 | Фитовит 3
302-20-689-1,Органическое удобрение на основе осадков сточных вод «Супер Флора»,органическое,C,ООО «Оренбург Водоканал»,,23.06.2015,22.06.2025,Не действует,0,
663-20-2988-1,Органическое удобрение на основе осадков сточных вод Ареал,органическое,C,ООО НПП АРЕАЛ,1160280113245,22.01.2021,21.01.2031,Действует,0,
727-20-3341-1,Органическое удобрение на основе осадков сточных вод ЭПА,органическое,C,ООО «НАУЧНО-ПРОИЗВОДСТВЕН НОЕ ОБЪЕДИНЕНИЕ «КВАНТОВЫЕ ТЕХНОЛОГИИ»,1185007005809,21.10.2021,20.10.2031,Действует,0,
888-20-4244-1,Органическое удобрение на основе помета индейки Тамбовской экокомпост,органическое,ЛС,ООО Тамбовская индейка,1116829006910,31.10.2023,30.10.2033,Действует,0,
519-20-2065-1,Органическое удобрение на основе помета птицы Биоресурс,биоудобрение,ЛС,ООО «ЧЕБАРКУЛЬСКАЯ ПТИЦА»,1047409500434,24.01.2019,23.01.2029,Действует,0,
728-20-3209-1,Органическое удобрение на основе птичьего помета Фертилаг,органическое,ЛС,ООО «РОСТОДАР»,1027704006307,12.07.2021,11.07.2031,Действует,2,А – рассыпчатый | Б – гранулированный
802-20-3596-1,Органическое удобрение натуральное зоокомпост Биогенезис,биоудобрение,ЛС,ООО «БИОГЕНЕЗИС»,1157746956069,07.04.2022,06.04.2032,Действует,0,
008(101)-20-3373-1,Органическое удобрение с аминокислотами Вит Амин,органическое,ЛС,ООО «БИОМ-ПРО»,1075009002254,17.11.2021,16.11.2031,Действует,0,
828-20-3767-1,Органическое удобрение удобрение Мерси Плюс,органическое,C,ООО «МЕРСИ ТРЕЙД»,1082538008101,20.06.2022,19.06.2032,Действует,2,Сухое | Жидкое
826-20-3766-1,Органическое удобрение удобрение Прим Плюс,органическое,C,ООО «ПРИМОРСКИЙ БЕКОН»,1122510000623,20.07.2022,19.07.2032,Действует,2,Сухое | Жидкое
254-13-4585-1,Органо-минеральнео удобрение Мастер Рэд,микроудобрение,ЛС,ООО «БИОКЕФАРМ РУС»,1097746641981,23.05.2024,22.05.2034,Действует,15,Мастер Рэд ПроФи | Мастер Рэд Ca | Мастер РэдCa+S | Мастер Рэд Mn+Cu+S | Мастер Рэд Ca+S+B | Мастер Рэд Mn+Mo | Мастер Рэд K+P Супер | Мастер Рэд Ca+Mg | Мастер Рэд Zn Супер | Мастер Рэд Вива | Мастер Рэд Ca+B | Мастер Рэд S Плюс | Мастер Рэд K Супер | Мастер Рэд K Плюс | Мастер Рэд K Супер K
233-13-4252-1,Органо-минеральное жидкое удобрение Эпин Плюс,стимулятор / жидкое комплексное,ЛС,ННПП «НЭСТ М»,1027739149580,13.11.2023,12.11.2033,Действует,0,
233-13-4508-1,Органо-минеральное жидкое удобрение “ЭкоФус”,стимулятор / жидкое комплексное,ЛС,АНО «НЭСТ М»,,04.04.2024,03.04.2034,Действует,0,
830-13-4982-1,Органо-минеральное удобрение (ОМУ) гранулированной фракции,прочее,Л,ООО «НОРД ПАЛП»,1151001010335,05.08.2025,04.08.2035,Действует,9,Марка №1 | Марка №2 | Марка №3 | Марка №4 | Марка №5 | Марка №6 | Марка №7 | Марка №8 | Марка №9
830-13-4981-1,Органо-минеральное удобрение (ОМУ) жидкой фракции,стимулятор / жидкое комплексное,Л,ООО «НОРД ПАЛП»,1151001010335,05.08.2025,04.08.2035,Действует,14,Марка №1 | Марка №2 | Марка №3 | Марка №4 | Марка №5 | Марка №6 | Марка №7 | Марка №8 | Марка №9 | Марка №10 | Марка №11 | Марка №12 | Марка №13 | Марка №14
951-13-4691-1,Органо-минеральное удобрение Айдамин,микроудобрение,C,ООО «АЙДАМИН-АМУР»,,09.10.2024,08.10.2034,Действует,1,"Айдамин Омния, Айдамин-Комплексный, Айдамин-Бор-Молибден, Айдамин-Молибден, Айдамин-Бор, Айдамин-Цинк, Айдамин-Железо, Айдамин-Медь, Айдамин-Амино"
254-13-1457-1,Органо-минеральное удобрение Алга 1000,прочее,ЛС,ООО «БИОКЕФАРМ РУС»,1097746641981,12.04.2017,11.04.2027,Действует,0,
203-13-4316-1,Органо-минеральное удобрение Алга Супер,прочее,ЛС,ООО «АГРОБИОКОМ»,1113668009102,15.12.2023,14.12.2033,Действует,0,
664-13-3565-1,Органо-минеральное удобрение Благо,фосфорное,C,ООО СППБ Балконверсия,1077847653080,22.03.2022,21.03.2032,Действует,7,Благо2 | Благо 3 | Благо 3+ | Благо 3 осеннее | Благо 5 | Благо 5+ | Благо 5 фосфорное
927-13-4537-1,Органо-минеральное удобрение Благо,микроудобрение,C,ООО «СППБ «Балтконверсия»,,03.05.2024,02.05.2034,Действует,4,Благо Молибден | Благо Марганец | Благо Бор | Благо Цинк
713-13-3634-1,Органо-минеральное удобрение Виано,комплексное NPK,ЛС,ООО «ОРГАНИК МИКС»,1187325001775,15.04.2022,14.04.2032,Действует,15,Био Юнивёрсал Фертилайзер | Роуз Фуд | Террасе Плант Фуд | Рекавери | Потэйто Фертилайзер | Легума | Томато энд Грин-Хаус ПлантФуд | Гринкомфорт Мо Нутритион | Лаун-Бустер | Микспроф Фос рс НПК 5-25-0 | Микспроф 5 | Микспроф 6 | Ви Эв-Рибоди Хепи 52 Икс | Ви Хэпи Индор Грин Плантс 52 Икс | Виназа
186-18-4180-1,Органо-минеральное удобрение Гумифул Про,прочее,C,АО «Яра»,,14.08.2023,бессрочно,Действует,7,Гумифул Про 800 | Гумифул Про Вита | Гумифул Про Вива | Гумифул Про Микс | Гумифул Про Амино | Гумифул ПроФи | Гумифул Про Турбо
203-13-4459-1,Органо-минеральное удобрение Игида,прочее,ЛС,ООО «АГРОБИОКОМ»,1113668009102,14.03.2024,13.03.2034,Действует,0,
537-13-2157-1,Органо-минеральное удобрение Икар,прочее,C,"«Икараи», ЗАО",,14.03.2019,13.03.2029,Действует,2,Икар Энзо | Икар Фосто
484-13-1911-1,Органо-минеральное удобрение Италполлина,комплексное NPK,ЛС,«ИТАЛПОЛЛИНА С.П.А»,,14.05.2018,13.05.2028,Действует,12,Мир Кальций-Бор | Мир Цинк | Мир Бор | Мир Хлороз | Мир Микро | Клик-Линк | Тренер | Скудо | 5 АП | Фосфит-1 | Нутримир 10-6-4 | Нутримир 4-4-10
525-13-2286-1,Органо-минеральное удобрение Компо,комплексное NPK,ЛС,Компо Эксперт ГмбХ,,28.08.2019,27.08.2029,Действует,8,Басфолиар Авант Натур СЛ | Басфолиар Авант Натур 8-4-6 СЛ | Басфолиар Амино Премиум СЛ | Басфолиар Алгае СЛ | Басфолиар Келп Премиум СЛ | Басфолиар Келп Олиго-Макс СЛ | Витаника РЦ | Басфолиар Терф Комплит СЛ
424-13-2084-1,Органо-минеральное удобрение Лейли 2000 (Сбалансированная смесь микроэлементов на основе экстракта морских водорослей),микроудобрение,ЛС,ООО «ГРАНУМ»,1147746366261,31.01.2019,30.01.2029,Действует,0,
126-13-1099-1,Органо-минеральное удобрение Макрошанс (Морские водоросли с микроэлементами в хелатной форме),микроудобрение,ЛС,"ООО ""ШАНС""",1093668046812,27.04.2016,26.04.2026,Не действует,0,
854-13-3954-1,Органо-минеральное удобрение Минавит,микроудобрение,ЛС,ООО Праймагро,1195081032596,12.01.2023,11.01.2033,Действует,8,Минавит Эконом | Минавит Премиум | Минавит Старт | Минавит Кущение | Минавит Турбо | Минавит Антистресс | Минавит Блок | Минавит Бор
424-13-2085-1,Органо-минеральное удобрение РутМост (Экстракт морских водорослей с аминокислотами),прочее,ЛС,ООО «ГРАНУМ»,1147746366261,31.01.2019,30.01.2029,Действует,0,
424-13-2106-1,"Органо-минеральное удобрение Сиамино (Экстракт морских водорослей с аминокислотами, макро- и микроэлемнтами)",микроудобрение,ЛС,ООО «ГРАНУМ»,1147746366261,04.02.2019,03.02.2029,Действует,0,
834-18-3817-1,Органо-минеральное удобрение Торфопродукт,грунт / субстрат,C,ООО «Торфопродукт»,1177031069423,05.10.2022,04.10.2032,Действует,16,Торфопродукт Экстра | Торфопродукт Экстра NK | Торфопродукт Экстра Mo | Торфопродукт по листу | Торфопродукт под корень | Торфопродукт Бор | Торфопродукт Азот Бор | Торфопродукт Азот | Торфопродукт Молибден Бор | Торфопродукт Молибден | Торфопродукт Плюс | Торфопродукт Плюс Бор | Торфопродукт Плюс Азот Бор | Торфопродукт Плюс Азот | Торфопродукт Плюс Молибден | Торфопродукт Плюс Молибден Бор
046-18-4427-1,Органо-минеральное удобрение Энерген-аква,прочее,ЛС,АО «ТПК «Техноэкспорт»,1025005325070,26.02.2024,25.02.2034,Не действует,4,А | Б | В | 20
046-18-5078-1,Органо-минеральное удобрение Энерген-аква,прочее,ЛС,"ООО ""ТЕХНОЭКСПОРТ""",1125042005175,29.08.2025,25.02.2034,Действует,4,А | Б | В | 20
126-13-1094-1,Органо-минеральное удобрение Энергошанс (экстракт морских водорослей с аминокислотами),прочее,ЛС,"ООО ""ШАНС""",1093668046812,27.04.2016,26.04.2026,Не действует,0,
779-13-3406-1,Органо-минеральное удобрение Эфика,микроудобрение,ЛС,ООО «ГЛАВАГРОПРОЕКТ»,1202200016590,09.12.2021,08.12.2031,Действует,6,Эфика Азот | Эфика Цинк | Эфика Бор | Эфика Магний | Эфика Микро | Эфика РК
