reg_no,name,slug,form,conc,klass,registrant,ogrn,hazard_human,hazard_bees,reg_date,reg_until,status,has_lph
019-02-2037-1,Луна Экспириенс,luna-ekspiriens,КС,200 г/л Флуопирам + 200 г/л Тебуконазол,фунгицид,Байер КропСайенс АГ,,II,III,02.11.2018,01.11.2028,Действует,0
606-03-3746-1,Люгер,lyuger,СЭ,"300 г/л 2,4-Д кислоты (2-этилгексиловый эфир) + 6,25 г/л флорасулам",гербицид,"+ 6,25 г/л флорасулам) Рейнбоу Кропсайенсиз Кфт.",,II,III,17.09.2015,16.09.2025,Не действует,0
886-03-9882-0,Люгер,lyuger,СЭ,"300 г/л 2,4-Д кислота (2-этилгексиловый эфир) + 6,25 г/л флорасулам",гербицид,"+ 6,25 г/л флорасулам) Рейнбоу Кропсайенсиз Кфт.",,II,III,31.03.2026,30.03.2029,Действует,0
041-03-3487-1,Люмакс,lyumaks,СЭ,"375 г/л С-Метолахлор + 125 г/л тербутилазин + 37,5 г/л Мезотрион",гербицид,ООО «Сингента»,1037739325271,III,III,24.01.2022,23.01.2032,Действует,0
029-01-2241-1,Люмипоса,lyumiposa,ТС,625 г/л Циантранилипрол,инсектицид,ООО «Дюпон Наука и Технологии»,,III,-,24.05.2019,23.05.2029,Действует,0
866-01-4613-1,Люмипоса КА,lyumiposa-ka,ТС,625 г/л Циантранилипрол,инсектицид,ООО Кортева Агрисаенс Рус,1106195008787,III,-,14.06.2024,13.06.2034,Действует,0
029-02-2826-1,Люмисена,lyumisena,ТС,200 г/л Оксатиапипролин,фунгицид,ООО «Дюпон Наука и Технологии»,,III,-,08.10.2020,07.10.2030,Действует,0
866-02-4757-0,Люмисена КА,lyumisena-ka,ТС,200 г/л Оксатиапипролин,фунгицид,ООО Кортева Агрисаенс Рус,1106195008787,III,-,23.12.2024,22.12.2027,Действует,0
869-02-4253-1,Люмифлекс,lyumifleks,ТС,452 г/л Ипконазол,фунгицид,ЮПЛ Холдингс Кооператив Ю.А.,,III,-,13.11.2023,12.11.2033,Действует,0
041-01-2538-1,Люфокс,lyufoks,КЭ,75 г/л Феноксикарб + 30 г/л Люфенурон,инсектицид,ООО «Сингента»,1037739325271,II,III,03.03.2020,02.03.2030,Действует,0
004(549)-01-5024-1,Лямбда-С,lyambda-s,КЭ,50 г/л лямбда-цигалотрин,инсектицид,"ООО НПО «РАХ», ООО «АгроХимИнвест»","1037706005050, 5137746013400",III,I,20.03.2020,19.03.2030,Действует,0
389-01-4294-1,Мабет,mabet,КЭ,18 г/л Абамектин,инсектицид,ООО «АГРОПРОГРЕСС КЭМИКАЛС»,1157847140296,III,I,11.12.2023,10.12.2033,Действует,0
156-01-2854-1,Маврик,mavrik,ВЭ,240 г/л Тау-флювалинат,инсектицид,ООО «АДАМА РУС»,1062310039934,III,III,26.10.2020,25.10.2030,Действует,0
156-02-4473-1,Маганик,maganik,КЭ,175 г/л Протиоконазол + 125 г/л Дифеноконазол,фунгицид,ООО «АДАМА РУС»,1062310039934,III,III,20.03.2024,19.03.2034,Действует,0
148-01-2000-1,Магна,magna,ТАБ,660 г/кг Магния фосфид,инсектицид,ООО «ЮПЛ»,1157746848490,I,-,25.09.2018,24.09.2028,Действует,0
192-02-4877-1,Магнат Тотал,magnat-total,КС,25 г/л флудиоксанил + 50 г/л тритиконазол,фунгицид,ООО ГК «ЗемлякоФФ»,1037724060560,III,-,27.05.2025,26.05.2035,Действует,0
192-02-631-1,Магнат Тотал,magnat-total,КС,25 г/л Флудиоксонил + 50 г/л тритиконазол,фунгицид,ООО ГК «ЗемлякоФФ»,1037724060560,III,-,13.04.2015,12.04.2025,Не действует,0
041-02-1668-1,Магнелло,magnello,КЭ,100 г/л Тебуконазол + 250 г/л Дифеноконазол,фунгицид,ООО «Сингента»,1037739325271,II,III,25.12.2017,24.12.2027,Действует,0
010-03-4929-1,Магнификус,magnifikus,МД,100 г/л Амидосульфурон + 25 г/л йодосульфурон-метил-натрий + 250 г/л антидот мефенпир-диэтил,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,25.06.2025,24.06.2035,Действует,0
092-01-2135-1,Магнифос,magnifos,ТАБ,660 г/кг Магния фосфид,инсектицид,ООО «Русинвест»,1057746502604,I,-,04.03.2019,03.03.2029,Действует,0
021-03-1798-1,Магнум,magnum,ВДГ,600 г/кг Метсульфурон-метил,гербицид,АО Фирма «Август»,1025006038958,III,III,21.11.2017,20.11.2027,Действует,1
021-03-3532-1,Магнум Супер,magnum-super,ВДГ,450 г/кг трибенурон-метил + 300 г/кг Метсульфурон-метил,гербицид,АО Фирма «Август»,1025006038958,III,III,18.03.2022,17.03.2032,Действует,0
057-01-2020-1,Магтоксин,magtoksin,ТАБ,660 г/кг Магния фосфид,инсектицид,Детиа Дегеш ГмбХ,,I,-,18.10.2018,17.10.2028,Действует,0
057-01-2021-1,Магтоксин,magtoksin,пластины/л,560 г/кг Магния фосфид,инсектицид,Детиа Дегеш ГмбХ,,I,-,18.10.2018,17.10.2028,Действует,0
178-03-2917-1,Маис,mais,СТС,250 г/кг римсульфурон,гербицид,ООО «Агро Эксперт Груп»,1027708006996,III,III,09.12.2020,08.12.2030,Действует,0
019-03-2409-1,МайсТер,mayster,ВДГ,10 г/кг йодосульфурон-метил-натрий + 300 г/кг Форамсульфурон + 300 г/кг антидот изоксадифен-этил,гербицид,Байер КропСайенс АГ,,III,III,20.09.2019,19.09.2029,Действует,0
019-03-4081-1,МайсТер Пауэр,mayster-pauer,МД,"31,5 г/л Форамсульфурон + 1 г/л йодосульфурон-метил-натрий + 10 г/л тиенкарбазон-метил + 15 г/л антидот ципросульфамид",гербицид,Байер КропСайенс АГ,,II,III,17.05.2023,16.05.2033,Действует,0
018-01-9985-0,Маклауд,maklaud,КС,250 г/л Метомил + 20 г/л лямбда-цигалотрин,инсектицид,"АО ""ЩЕЛКОВО АГРОХИМ""",1025006519427,II,I,28.05.2026,27.05.2029,Действует,0
866-03-9997-0,Макой,makoy,КЭ,90 г/л феноксапроп-П-этил + 90 г/л Клодинафоп-пропаргил + 40 г/л антидот мефенпир-диэтил,гербицид,"ООО ""ПРИОРИТЕТ ГРУПП""",1152312010740,III,III,03.06.2026,02.06.2029,Действует,0
192-03-3277-1,Макси Злак,maksi-zlak,КЭ,120 г/л Клетодим,гербицид,ООО ГК «ЗемлякоФФ»,1037724060560,III,III,31.08.2021,30.08.2031,Действует,0
041-02-4335-0,Максим,maksim,КС,25 г/л Флудиоксонил,фунгицид,ООО «Сингента»,1037739325271,III,-,25.12.2023,24.12.2026,Действует,1
041-02-1018-1,Максим 480,maksim-480,КС,480 г/л Флудиоксонил,фунгицид,ООО «Сингента»,1037739325271,III,-,09.03.2016,08.03.2026,Не действует,0
041-02-9999-0,Максим 480,maksim-480,КС,480 г/л Флудиоксонил,фунгицид,"ООО ""СИНГЕНТА""",1037739325271,III,-,04.06.2026,03.06.2029,Действует,0
014-02-2628-1,Максим Адванс,maksim-advans,КС,"150 г/л Тиабендазол + 25, г/л Флудиоксонил + 20 г/л Мефеноксам",фунгицид,ООО «Сингента»,1037739325271,III,-,26.03.2020,25.03.2030,Действует,0
041-02-2077-1,Максим Голд,maksim-gold,КС,25 г/л Флудиоксонил + 10 г/л Мефеноксам,фунгицид,ООО «Сингента»,1037739325271,III,-,29.01.2019,28.01.2029,Действует,0
012-02-4653-1,Максим Дачник,maksim-dachnik,КС,25 г/л Флудиоксонил,фунгицид,ООО Фирма «Зеленая Аптека Садовода»,1037700040564,III,III,09.08.2024,08.08.2034,Действует,0
041-02-872-1,Максим Кватро,maksim-kvatro,КС,"15 г/л Азоксистробин + 300 г/л Тиабендазол + 37,5 г/л Флудиоксонил + 30 г/л Мефеноксам",фунгицид,ООО «Сингента»,1037739325271,III,-,27.11.2015,26.11.2025,Не действует,0
041-02-9701-0,Максим Кватро,maksim-kvatro,КС,"300 г/л Тиабендазол + 37,5 г/л Флудиоксонил + 30 г/л мефеноксама + 15 г/л Азоксистробин",фунгицид,ООО «Сингента»,1037739325271,III,-,03.12.2025,03.12.2028,Действует,0
041-02-3992-1,Максим Плюс,maksim-plyus,КС,25 г/л Дифеноконазол + 25 г/л Флудиоксонил,фунгицид,ООО «Сингента»,1037739325271,III,-,01.03.2023,28.02.2033,Действует,0
041-02-4164-1,Максим Форте,maksim-forte,КС,25 г/л Флудиоксонил + 15 г/л Тебуконазол + 10 г/л Азоксистробин,фунгицид,ООО «Сингента»,1037739325271,II,-,21.07.2023,20.07.2033,Действует,0
041-02-1338-1,Максим Экстрим,maksim-ekstrim,КС,"18,7 г/л Флудиоксонил + 6,25 г/л Ципроконазол",фунгицид,ООО «Сингента»,1037739325271,III,-,25.01.2017,24.01.2027,Действует,0
966-01-4973-0,Малатэкс,malateks,КЭ,570 г/л Малатион,инсектицид,ООО «КРОПЭКС»,1037706002773,II,I,05.08.2025,04.08.2028,Действует,0
010-03-1577-1,Малахит,malahit,ВДГ,700 г/кг Метамитрон,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,30.10.2017,29.10.2027,Действует,0
201-02-4596-1,Малвин,malvin,ВДГ,800 г/кг Каптан,фунгицид,АРИСТА ЛАЙФСАЙЕНС С.А.С.,,II,III,07.06.2024,06.06.2034,Действует,0
004(549)-03-5019-1,Малибу,malibu,ВДГ,120 г/л трифлусульфурон-метил,гербицид,"ООО НПО «РАХ», ООО «АгроХимИнвест»","1037706005050, 5137746013400",III,III,08.05.2023,20.12.2030,Действует,0
866-03-9996-0,Мамай,mamay,ВР,480 г/л Глифосата кислота (изопропиламинная соль),гербицид,"ООО ""ПРИОРИТЕТ ГРУПП""",1152312010740,II,III,03.06.2026,02.06.2029,Действует,0
021-01-3102-1,Мамба,mamba,КЭ,150 г/л Альфа-ципермeтрин,инсектицид,АО Фирма «Август»,1025006038958,II,I,09.04.2021,08.04.2031,Действует,0
148-02-2526-1,Манзат,manzat,ВДГ,750 г/кг Манкоцеб,фунгицид,ООО «ЮПЛ»,1157746848490,II,III,22.01.2020,21.01.2030,Действует,0
010-02-3818-1,Манифест,manifest,ВДГ,640 г/кг Манкоцеб + 40 г/кг Мефеноксам,фунгицид,ООО «ЛИСТЕРРА»,1057749556930,II,III,07.10.2022,06.10.2032,Действует,0
102-02-1548-1,Манкодим,mankodim,СП,600 г/кг Манкоцеб + 90 г/кг Диметоморф,фунгицид,«РОТАМ Лтд»,,III,III,20.09.2017,19.09.2027,Действует,0
184(026)-02-2256-1,Манкоцеб,mankotseb,СП,800 г/кг Манкоцеб,фунгицид,"ООО «Агрорус и Ко», Агрия АД",,II,III,31.05.2019,30.05.2029,Действует,0
197-03-1373-1,Мантра,mantra,ВРК,33 г/л Имазамокс + 15 г/л Имазапир,гербицид,ООО «Агрохим ХХ1»,5067746338150,III,III,22.02.2017,21.02.2027,Действует,0
159-02-1025-1,Манфил,manfil,СП,800 г/кг Манкоцеб,фунгицид,ИНДОФИЛ ИНДАСТРИЗ ЛИМИТЕД,,II,III,11.03.2016,10.03.2026,Не действует,0
402-03-4797-1,МарафонСоя,marafonsoya,ВР,250 г/л фомесафен,гербицид,ООО «АГРОТЕХИНВЕСТ»,1112801009727,III,III,03.02.2025,02.02.2035,Действует,0
192-03-1284-1,Мариус,marius,КС,700 г/л Метамитрон,гербицид,ООО ГК «ЗемлякоФФ»,1037724060560,II,III,12.12.2016,11.12.2026,Действует,0
192-03-9953-1,Мариус,marius,КС,700 г/л Метамитрон,гербицид,"ООО ГК ""ЗЕМЛЯКОФФ""",1037724060560,II,III,18.05.2026,17.05.2036,Действует,0
082-03-4349-1,Маркос,markos,ВР,33 г/л Имазамокс + 50 г/л Имазетапир,гербицид,ООО «Интер Групп»,1084312000420,III,III,09.01.2024,08.01.2034,Действует,0
015-01-722-1,Масай,masay,СП,200 г/кг Тебуфенпирад,инсектицид,БАСФ Агро Б.В.,,III,III,29.07.2015,28.07.2025,Не действует,0
156-02-4522-1,Мастеркоп,masterkop,КС,259 г/л Меди сульфат,фунгицид,ООО «АДАМА РУС»,1062310039934,III,II,03.05.2024,02.05.2034,Действует,0
021-01-2672-1,МатринБио,matrinbio,ВР,5 г/л Матрин,инсектицид,АО Фирма «Август»,1025006038958,III,III,13.05.2020,12.05.2030,Действует,1
021-01-4440-1,МатринБио БАУ,matrinbio-bau,ВР,"0,025 г/л Матрин",инсектицид,АО Фирма «Август»,1025006038958,III,III,05.03.2024,04.03.2034,Действует,1
366-07-1113-1,Матрица Роста,matritsa-rosta,ВРК,150 г/л Полидиаллилдиметиламмоний хлорид,регулятор роста,ООО «ФОРМУЛА АГРЭКО»,1127747295500,III,III,05.05.2016,04.05.2026,Не действует,1
041-01-4413-0,Матч,match,КЭ,50 г/л Люфенурон,инсектицид,ООО «Сингента»,1037739325271,III,III,15.02.2024,14.02.2027,Действует,0
866-03-10049-0,Маузер,mauzer,СЭ,"280 г/л 2,4-Д кислота (2-этилгексиловый эфир) + 30 г/л Клопиралид (2-этилгексиловый эфир) + 12 г/л флорасулам",гербицид,"+ 30 г/л Клопиралид (2-этилгексиловый эфир) + 12 г/л флорасулам) ООО ""ПРИОРИТЕТ ГРУПП""",1152312010740,II,III,27.07.2026,26.07.2029,Действует,0
278-02-494-1,Маэстро,maestro,КЭ,250 г/л Пропиконазол + 80 г/л Ципроконазол,фунгицид,"ООО ""АГРОХИМИЧЕСКИЕ ТЕХНОЛОГИИ""",1144632004582,III,-,26.12.2014,25.12.2024,Не действует,0
082-03-1393-1,Мегалит,megalit,ВР,267 г/л Клопиралид + 67 г/л пиклорам,гербицид,ООО «Интер Групп»,1084312000420,III,III,06.03.2017,05.03.2027,Действует,0
010-03(04)-3761-1,Мегаполис,megapolis,ВР,150 г/л Глюфосинат аммоний,гербицид,ООО «ЛИСТЕРРА»,1057749556930,II,III,15.07.2022,14.07.2032,Действует,0
144-01-568-1,Медвегон,medvegon,Г,40 г/кг Диазинон,инсектицид,ЗАО «НКФ РЭТ»,,III,-,20.02.2015,19.02.2025,Не действует,1
046-01-3041-1,Медветокс,medvetoks,Г,50 г/кг Диазинон,инсектицид,ЗАО «ТПК «Техноэкспорт»,1025005325070,III,-,03.03.2021,02.03.2031,Не действует,1
046-01-5045-1,Медветокс,medvetoks,Г,50 г/кг Диазинон,инсектицид,ООО «Техноэкспорт»,1125042005175,III,-,29.08.2025,02.03.2031,Действует,1
046-01-4181-1,Медветокс Форте,medvetoks-forte,Г,5 г/кг Имидаклоприд,инсектицид,ЗАО «ТПК «Техноэкспорт»,1025005325070,III,-,14.08.2023,13.08.2033,Не действует,0
046-01-5060-1,Медветокс Форте,medvetoks-forte,Г,5 г/кг Имидаклоприд,инсектицид,ООО «Техноэкспорт»,1125042005175,III,-,29.08.2025,13.08.2033,Действует,0
018-02-4498-1,Медея,medeya,МЭ,50 г/л Дифеноконазол + 30 г/л Флутриафол,фунгицид,АО «Щелково Агрохим»,1025006519427,III,III,01.04.2024,31.03.2034,Действует,1
018-01-4170-1,Медоуз,medouz,МД,200 г/л Ацетамиприд,инсектицид,АО «Щелково Агрохим»,1025006519427,III,III,21.08.2023,20.08.2033,Действует,0
097-03-2353-1,Мезокорн,mezokorn,КС,480 г/л Мезотрион,гербицид,ООО «АГРус»,5087746677893,III,III,23.08.2019,22.08.2029,Действует,0
082-03-10093-0,Мезофлор,mezoflor,МД,"100 г/л Мезотрион + 40 г/л никосульфурон + 4,5 г/л флорасулам",гербицид,"ООО ""ИНТЕР ГРУПП""",1084312000420,III,III,21.08.2026,20.08.2029,Действует,0
010-03-2809-1,Меис,meis,КС,480 г/л Мезотрион,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,17.09.2020,16.09.2030,Действует,0
018-01-1989-1,Мекар,mekar,МЭ,18 г/л Абамектин,инсектицид,АО «Щелково Агрохим»,1025006519427,II,I,25.09.2018,18.01.2024,Действует,0
547-07-3294-1,Мелафен,melafen,ВР,10-4 г/л Меламиновая соль бис(оксиметил) фосфиновой кислоты,регулятор роста,фосфиновой кислоты) ООО «НПО «БИОХИМСЕРВИС»,1101690004261,IV,III,16.09.2021,15.09.2031,Действует,1
446-03-1539-1,Мелион,melion,КС,40 г/л никосульфурон,гербицид,ООО «СФ-РЕГИСТРЭЙШН»,1142310001404,III,III,11.08.2017,10.08.2027,Действует,0
653-01-2960-1,Мелория,meloriya,КС,141 г/л Тиаметоксам + 106 г/л лямбда-цигалотрин,инсектицид,ООО «СЭЙФТИ ФИЛД КОРПОРЭЙШН»,1112310006104,II,I,25.12.2020,24.12.2030,Действует,0
085-03-4140-1,Меридиан,meridian,ВР,267 г/л Клопиралид + 67 г/л пиклорам,гербицид,ООО «Ярило»,1083123001500,III,III,29.06.2023,28.06.2033,Действует,0
213-03-1208-1,Мерлин,merlin,ВДГ,750 г/кг Изоксафлютол,гербицид,Байер САС,,II,-,05.09.2016,04.09.2026,Не действует,0
019-03-2038-1,Мерлин Флекс,merlin-fleks,КС,240 г/л Изоксафлютол + 240 г/л антидот ципросульфамид,гербицид,Байер КропСайенс АГ,,II,III,02.11.2018,01.11.2028,Действует,0
156-02-2999-1,Мерпан,merpan,СП,500 г/кг Каптан,фунгицид,ООО «АДАМА РУС»,1062310039934,III,III,28.01.2021,27.01.2031,Действует,0
018-02-3491-1,Мессер,messer,МЭ,25 г/л Флудиоксонил + 210 г/л Мефеноксам,фунгицид,АО «Щелково Агрохим»,1025006519427,II,-,09.02.2022,08.02.2032,Действует,0
014-07-1182-1,Мессидор,messidor,К,50 г/л прогексадион кальция + 300 г/л мепикват-хлорид,регулятор роста,«БАСФ СЕ»,,III,III,01.08.2016,31.07.2026,Не действует,0
130-03-3184-1,МетАлт,metalt,ВДГ,600 г/кг Метсульфурон-метил,гербицид,ООО «Резерв»,1082224012738,III,III,17.06.2021,16.06.2031,Действует,0
495-02-1941-1,Метабактерин,metabakterin,СП,"10¹⁰ КОЕ/г MethylobacteriumextorquensNVDBKMB-2879 D + 0,5 г/кг ВалидамицинStreptomyceshygroscopicussubsp, «limoneus» ВКПМАС-1966 + 10¹⁰ КОЕ/г BacillussubtilisВКПМВ-2 918 ИПМ-215 + 0,5 г/кг ВалидамицинStreptomyceshygroscopicussubsp, «limoneus» ВКПМАС-1966",фунгицид,ООО «Фермлаб»,1117746291497,III,III,31.05.2018,30.05.2028,Действует,0
117-22-1518-1,Метабром-РФО,metabrom-rfo,Газ,980 г/кг Метилбромид,инсектицид,ФГУП «Республиканский фумигационный отряд»,,I,-,31.07.2017,30.07.2027,Действует,0
196-01-3937-1,Метавайт,metavayt,Ж,"10⁷ КОЕ/Мл Metarhiziumanisopliae штамм 3873/18Л + 10⁸ КОЕ/Мл Beauveriabassiana штамм 119/ЛТ + 10⁹ КОЕ/Мл Bacillusthuringiensisvar. thuringiensis штамм БФ/15Л + 10⁵ КОЕ/Мл Streptomycessp., штамм Н/15",инсектицид,ООО «ОРГАНИК ЛАЙН»,1115027001154,III,III,10.01.2023,09.01.2033,Действует,1
021-02-4273-1,Метаксил,metaksil,СП,640 г/кг Манкоцеб + 80 г/кг Металаксил,фунгицид,АО Фирма «Август»,1025006038958,II,III,29.11.2023,28.11.2033,Действует,0
018-02-4263-1,Метамил МЦ,metamil-mts,ВДГ,640 г/кг Манкоцеб + 80 г/кг Металаксил,фунгицид,АО «Щелково Агрохим»,1025006519427,II,III,23.11.2023,22.11.2033,Действует,0
002-03-3975-1,Метамир,metamir,КС,700 г/л Метамитрон,гербицид,ООО «АГРУСХИМ»,1057747562509,II,III,02.02.2023,01.02.2033,Действует,0
242-01-416-1,Метаризин,metarizin,Ж,10⁸ КОЕ/Мл Metarhizium anisopliae Р-72,инсектицид,ООО «Инвиво»,1082323000495,IV,III,23.09.2014,22.09.2024,Не действует,1
050(360)-03-1059-1,Метарон,metaron,ВДГ,700 г/кг Метамитрон,гербицид,"ЗАО «ФМРус», ООО «АГРОХИМИНВЕСТ","1097746208207, 1027743011207",III,III,07.04.2016,06.04.2026,Не действует,0
607-03-3728-1,Метас,metas,ВР,40 г/л Имазамокс,гербицид,Рейбоу Агросайенс Кфт.,,III,III,26.07.2017,25.07.2027,Действует,0
148-03-4409-1,Метафол,metafol,СК,700 г/л Метамитрон,гербицид,ООО «ЮПЛ»,1157746848490,III,III,06.02.2024,05.02.2034,Действует,0
082-03-9751-0,Метафор,metafor,ВДГ,600 г/кг Метсульфурон-метил,гербицид,"ООО ""ИНТЕР ГРУПП""",1084312000420,III,III,12.01.2026,11.01.2029,Действует,0
126-02-1195-1,Меташанс,metashans,СП,640 г/кг Манкоцеб + 80 г/кг Металаксил,фунгицид,ООО «Шанс»,1093668046812,II,III,15.08.2016,14.08.2026,Не действует,0
063-02-2088-1,Метеор,meteor,СП,770 г/кг Меди гидроокись,фунгицид,ООО «ХИМАГРОМАРКЕТИН Г.РУ»,1023403447913,II,III,01.02.2019,31.01.2029,Действует,0
010-03-2904-1,Меткий,metkiy,МД,75 г/л Мезотрион + 30 г/л никосульфурон,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,02.12.2020,01.12.2030,Действует,0
002-03-4938-1,Метметил,metmetil,ВДГ,600 г/кг Метсульфурон-метил,гербицид,ООО «АГРУСХИМ»,1057747562509,III,III,02.07.2025,01.07.2035,Действует,0
097-03-554-1,Метметил,metmetil,ВДГ,600 г/кг Метсульфурон-метил,гербицид,ООО «АГРус»,5087746677893,III,III,12.02.2015,11.02.2025,Не действует,0
б/н Метолс,Метолс,metols,КЭ,960 г/л С-Метолахлор,гербицид,"ООО «АГРОИМПЭКС», ООО «Ипрохим», ООО НПО «РАХ»","1157746689484, 5087746217719, 1037706005050",III,III,26.05.2017,25.05.2027,Действует,0
050(360)-01-2978-1,Метомакс,metomaks,КС,250 г/л Метомил + 25 г/л бифентрина,инсектицид,"ЗАО «ФМРус», ООО «АГРОХИМИНВЕСТ","1097746208207, 1027743011207",II,I,15.01.2021,25.03.2024,Действует,0
389-01-3671-1,Метонат,metonat,СП,250 г/кг Метомил,инсектицид,ООО «АГРОПРОГРЕСС КЭМИКАЛС»,1157847140296,II,I,15.02.2016,14.02.2026,Не действует,0
389-01-9891-0,Метонат,metonat,СП,250 г/кг Метомил,инсектицид,"ООО ""АГРОПРОГРЕСС КЭМИКАЛС""",1157847140296,II,I,08.04.2026,07.04.2029,Действует,0
050-03-4920-1,Метрибут,metribut,КС,500 г/л Метрибузин,гербицид,АО «ФМРус»,1097746208207,III,III,30.06.2025,29.06.2035,Действует,0
322-03-1202-1,Метрифар 70,metrifar-70,ВГ,700 г/кг Метрибузин,гербицид,Ариста ЛайфСайенс Бенилюкс СПРЛ,,III,III,22.08.2016,21.08.2026,Не действует,0
322-03-4718-1,Метрифар 70,metrifar-70,ВГ,700 г/кг Метрибузин,гербицид,Ариста ЛайфСайенс Бенилюкс СПРЛ,,III,III,22.08.2016,21.08.2026,Не действует,0
467-07-1697-1,Мивал-Агро,mival-agro,КРП,760 г/кг Ортокрезоксиуксусной кислоты триэтаноламмониевая соль + 190 г/кг 1-хлорметилсилатран,регулятор роста,ООО «АГРОСИЛ»,1057746544107,IV,III,31.01.2018,30.01.2028,Действует,1
094-02-10069-0,Мигива,migiva,КС,200 г/л Ипфлуфеноквин,фунгицид,"Ниппон Сода Ко., Лтд",,III,III,07.08.2026,06.08.2029,Действует,0
010-03-3469-1,Мидас,midas,СЭ,"410 г/л 2,4-Д кислота (сложный 2-этилгексиловый эфир) + 15 г/л флорасулам",гербицид,+ 15 г/л флорасулам) ООО «ЛИСТЕРРА»,1057749556930,II,III,13.01.2022,12.01.2032,Действует,0
139-02-4477-1,Микозар,mikozar,СП,"5х10¹⁰ КОЕ/г Bacillussubtilis, штамм В-10 ВИЗР, Bacillus subtilis, штамм М-22 ВИЗР, Trichoderma harzianum, Штамм ВИЗР-18",фунгицид,ООО Управляющая компания «АБТ-групп»,,III,-,22.03.2024,21.03.2034,Действует,0
817-07-3677-1,Микромецен,mikrometsen,ВР,"0,0001 г/л Натриевая соль бис(оксиметил) фосфиновой кислоты",регулятор роста,фосфиновой кислоты) ООО «ЭКОХИМКОНСАЛТИН Г»,1031625404030,IV,III,11.05.2022,10.05.2032,Действует,0
148-02-4864-1,Микротиол Специаль,mikrotiol-spetsial,ВДГ,800 г/кг Сера,фунгицид,ООО «ЮПЛ»,1157746848490,III,III,05.05.2025,04.05.2035,Действует,0
148-02-854-1,Микротиол Специаль,mikrotiol-spetsial,ВДГ,800 г/кг Сера,фунгицид,ООО «ЮПЛ»,1157746848490,III,III,06.02.2015,05.02.2025,Не действует,0
197(023)-02-3182-1,МиксФил,miksfil,КС,150 г/л Азоксистробин + 120 г/л Протиоконазол,фунгицид,"ООО «Агрохим ХХ1», ООО «АНПП «Агрохим-XXI»","5067746338150, 1027700119710",III,-,16.06.2021,15.06.2031,Действует,0
617-02-9937-0,Миксам Голд,miksam-gold,КС,25 г/л Флудиоксонил + 10 г/л Мефеноксам,фунгицид,"ООО ""ГРИН ПЛАНТ""",1175029028790,III,-,05.05.2026,04.05.2029,Действует,0
528-02-2114-1,Миксанил,miksanil,КС,375 г/л хлороталонил + 50 г/л цимоксанил,фунгицид,СИПКАМ ОКСОН С.П.А.,,II,III,21.02.2019,20.02.2029,Действует,0
041-03-2979-1,Милагро Плюс,milagro-plyus,МД,50 г/л никосульфурон + 220 г/л Дикамба (натриевая соль),гербицид,ООО «Сингента»,1037739325271,III,III,18.01.2021,17.01.2031,Действует,0
278-03-4106-1,Милафорт,milafort,КС,40 г/л никосульфурон,гербицид,ООО ЭЛЛИПСАГРО,1142308002495,III,III,22.12.2014,21.12.2024,Не действует,0
066-02-3553-1,Милдикат,mildikat,КС,250 г/л Фосфит натрия + 25 г/л Циазофамид,фунгицид,ИСК Биосаенсис Юроп Н.В.,,III,III,21.03.2022,20.03.2032,Действует,0
085-03-4329-1,Милена,milena,КС,40 г/л никосульфурон,гербицид,ООО «Ярило»,1083123001500,III,III,21.12.2023,20.12.2033,Действует,0
023-03-908-1,Минотавр,minotavr,ВДГ,700 г/кг Метамитрон,гербицид,ООО «АНПП «Агрохим-XXI»,1027700119710,III,III,21.12.2015,20.12.2025,Не действует,0
197-02-3769-1,Минхати,minhati,КС,250 г/л Флутриафол,фунгицид,ООО «Агрохим ХХ1»,5067746338150,III,III,22.07.2022,16.02.2024,Действует,0
041-02-3556-1,Миравис,miravis,СК,200 г/л Пидифлуметофен,фунгицид,ООО «Сингента»,1037739325271,II,III,22.03.2022,03.03.2026,Действует,0
041-02-4551-0,Миравис Дуо,miravis-duo,СК,125 г/л Дифеноконазол + 75 г/л Пидифлуметофен,фунгицид,ООО «Сингента»,1037739325271,II,III,02.05.2024,01.05.2027,Действует,0
041-02-3557-1,Миравис Нео,miravis-neo,СЭ,125 г/л Пропиконазол + 100 г/л Азоксистробин + 75 г/л Пидифлуметофен,фунгицид,ООО «Сингента»,1037739325271,II,III,22.03.2022,21.03.2032,Действует,0
041-02-4009-1,Миравис Эйс,miravis-eys,СЭ,150 г/л Пидифлуметофен + 125 г/л Пропиконазол,фунгицид,ООО «Сингента»,1037739325271,II,III,09.03.2023,08.03.2033,Действует,0
126-03-9662-0,Мисо,miso,МЭ,222 г/л фомесафен + 75 г/л кломазон,гербицид,"ООО ""ШАНС""",1093668046812,III,III,06.11.2025,05.11.2028,Действует,0
018-02-2802-1,Мистерия,misteriya,МЭ,80 г/л Пираклостробин + 80 г/л Тебуконазол + 40 г/л Дифеноконазол,фунгицид,АО «Щелково Агрохим»,1025006519427,II,III,16.09.2020,16.01.2024,Действует,0
156-03-3632-1,Мистраль Топ,mistral-top,КС,480 г/л Метрибузин,гербицид,ООО «АДАМА РУС»,1062310039934,III,III,15.04.2022,14.04.2032,Действует,0
